label,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21
A,0.6884526014328003,0.6075783371925354,0.544723629951477,0.4823150038719177,0.4179964065551758,0.637199342250824,0.6407728791236877,0.6496590971946716,0.6594849228858948,0.7116300463676453,0.7400359511375427,0.7620261311531067,0.7829083800315857,0.7747131586074829,0.8215827345848083,0.8528910875320435,0.8798471689224243,0.824478268623352,0.888778567314148,0.9332658648490906,0.969322681427002,0.7163388729095459,0.679090142250061,0.6039701700210571,0.5482980608940125,0.5104866623878479,0.4246256351470947,0.3023635149002075,0.22411032021045685,0.1606544405221939,0.4267430007457733,0.2813294231891632,0.19387389719486237,0.12084731459617615,0.47189489006996155,0.3355034589767456,0.2438189834356308,0.16241292655467987,0.5464040040969849,0.46483415365219116,0.40880292654037476,0.3583843410015106,1.0296064374415437e-06,-0.059462521225214005,-0.10269191116094589,-0.13887718319892883,-0.17900581657886505,-0.09294211864471436,-0.1419764757156372,-0.17957305908203125,-0.2064007967710495,-0.09763260930776596,-0.1420709639787674,-0.17777571082115173,-0.20336750149726868,-0.10666957497596741,-0.15682923793792725,-0.18944478034973145,-0.21091094613075256,-0.11832267791032791,-0.1681099683046341,-0.18764710426330566,-0.1986389011144638
A,0.6704619526863098,0.5821503400802612,0.5102866291999817,0.4463807940483093,0.37892115116119385,0.6052698493003845,0.6132857799530029,0.6150209307670593,0.6120213866233826,0.6789688467979431,0.7114166021347046,0.7301291823387146,0.7462487816810608,0.7426036596298218,0.7951400876045227,0.8275632858276367,0.853532075881958,0.796237587928772,0.8657634854316711,0.9126678109169006,0.9518373012542725,0.702086329460144,0.6703182458877563,0.6007574200630188,0.5463699102401733,0.5078751444816589,0.4260077178478241,0.2961565852165222,0.22961696982383728,0.17877048254013062,0.42953014373779297,0.26435062289237976,0.16349077224731445,0.07678461074829102,0.47234445810317993,0.32663261890411377,0.23150040209293365,0.14481204748153687,0.5421319603919983,0.44926726818084717,0.3874901533126831,0.3260759711265564,8.597042437941127e-07,-0.057324476540088654,-0.1027311161160469,-0.14322428405284882,-0.18824538588523865,-0.09855732321739197,-0.15013544261455536,-0.18735690414905548,-0.21212182939052582,-0.10721730440855026,-0.14910949766635895,-0.1820419877767563,-0.2087792009115219,-0.1206614077091217,-0.16800019145011902,-0.20173121988773346,-0.22682791948318481,-0.1371673047542572,-0.18108904361724854,-0.20124240219593048,-0.2164694219827652
A,0.6541368961334229,0.5668402314186096,0.4931822717189789,0.42489394545555115,0.3529392182826996,0.5784965753555298,0.5776293873786926,0.5781267881393433,0.5801685452461243,0.6510537266731262,0.6838356852531433,0.710639238357544,0.7394042611122131,0.7148668766021729,0.7619118690490723,0.7975857257843018,0.8294557332992554,0.7698721885681152,0.8338860273361206,0.8787186145782471,0.9167941212654114,0.6987595558166504,0.6705971956253052,0.6015340089797974,0.5471819043159485,0.511875331401825,0.4253269135951996,0.294802725315094,0.21924634277820587,0.15468212962150574,0.425847589969635,0.25865638256073,0.15858325362205505,0.07381308078765869,0.4661363661289215,0.31561359763145447,0.21903569996356964,0.13251426815986633,0.5341893434524536,0.4385414719581604,0.37508702278137207,0.3132018744945526,8.963397135630657e-07,-0.05705168470740318,-0.101877361536026,-0.14154745638370514,-0.18586765229701996,-0.09837467968463898,-0.14589670300483704,-0.17875348031520844,-0.20189988613128662,-0.10632134228944778,-0.1467052549123764,-0.17549198865890503,-0.1990109533071518,-0.11867522448301315,-0.1653352677822113,-0.19495001435279846,-0.2169887274503708,-0.13416361808776855,-0.1779082715511322,-0.19591103494167328,-0.20937301218509674
A,0.6266264915466309,0.5343613624572754,0.4508029818534851,0.38033103942871094,0.310967355966568,0.5273984670639038,0.5045167803764343,0.488761842250824,0.47736281156539917,0.5952316522598267,0.6132142543792725,0.6285353302955627,0.6453255414962769,0.6559224724769592,0.6835193634033203,0.7009908556938171,0.7149854898452759,0.7126753926277161,0.7494631409645081,0.7722275853157043,0.7907065153121948,0.751764714717865,0.706055760383606,0.635671854019165,0.5857986211776733,0.5546305179595947,0.43734145164489746,0.2758640646934509,0.16998624801635742,0.0810084342956543,0.43656668066978455,0.2629913091659546,0.1573251187801361,0.06528550386428833,0.4716436564922333,0.3110608160495758,0.20502221584320068,0.10897323489189148,0.5298555493354797,0.415042519569397,0.3353574872016907,0.2538245618343353,9.688205864222255e-07,-0.05454140529036522,-0.0989055186510086,-0.13851851224899292,-0.1823531538248062,-0.09119800478219986,-0.1383436918258667,-0.1723945438861847,-0.19721479713916779,-0.09882216155529022,-0.14099253714084625,-0.17114463448524475,-0.19456788897514343,-0.11109890788793564,-0.15343451499938965,-0.18038970232009888,-0.20072174072265625,-0.12710992991924286,-0.16372376680374146,-0.17901472747325897,-0.19101421535015106
A,0.6169848442077637,0.5239064693450928,0.44437098503112793,0.37408217787742615,0.3030410706996918,0.520077645778656,0.4971485733985901,0.4806950092315674,0.4684569239616394,0.5887341499328613,0.6046950817108154,0.6187034845352173,0.6314629912376404,0.6494465470314026,0.6774044632911682,0.6952691078186035,0.7083871960639954,0.7043588161468506,0.7416977286338806,0.7648109197616577,0.7819629311561584,0.7405557632446289,0.7064802646636963,0.6424390077590942,0.5916296243667603,0.5611581802368164,0.4415111243724823,0.28645431995391846,0.18399938941001892,0.09391310811042786,0.43734434247016907,0.2682124078273773,0.16574200987815857,0.07606205344200134,0.46976563334465027,0.30907219648361206,0.20414870977401733,0.10885533690452576,0.525254487991333,0.40998268127441406,0.32927608489990234,0.2496742457151413,1.031785018312803e-06,-0.058590058237314224,-0.10398920625448227,-0.1431199312210083,-0.1857537180185318,-0.09866821765899658,-0.14754100143909454,-0.18118323385715485,-0.20626039803028107,-0.10564771294593811,-0.15077708661556244,-0.18097743391990662,-0.2040260136127472,-0.1173115074634552,-0.1648610681295395,-0.1908930540084839,-0.2092682123184204,-0.13264982402324677,-0.17573182284832,-0.1922260820865631,-0.20370998978614807
A,0.6147944331169128,0.5214267373085022,0.44135457277297974,0.3696402311325073,0.2989211976528168,0.5147041082382202,0.48757004737854004,0.4715208411216736,0.46007031202316284,0.5840979218482971,0.5983341932296753,0.6106886863708496,0.621289849281311,0.645807147026062,0.6734148263931274,0.6918948888778687,0.7047860622406006,0.7016364336013794,0.7359699010848999,0.7566843032836914,0.7712674736976624,0.749343991279602,0.7127145528793335,0.6482189893722534,0.5992540121078491,0.56890869140625,0.4415844678878784,0.2869541049003601,0.1859789788722992,0.09676069021224976,0.4360695779323578,0.2667587399482727,0.16841626167297363,0.08187520503997803,0.4687930643558502,0.30763548612594604,0.2030353546142578,0.10819390416145325,0.5262490510940552,0.40810343623161316,0.3273458778858185,0.24740327894687653,9.999351959777414e-07,-0.05802607536315918,-0.10369432717561722,-0.1431293785572052,-0.18623463809490204,-0.09843429923057556,-0.1478373408317566,-0.1821141093969345,-0.20749838650226593,-0.10591450333595276,-0.15167953073978424,-0.18256239593029022,-0.20569424331188202,-0.11797834187746048,-0.1654287725687027,-0.1916959583759308,-0.21010446548461914,-0.1336008757352829,-0.17572586238384247,-0.1913633495569229,-0.2022595852613449
A,0.6098036766052246,0.5186985731124878,0.4387105703353882,0.3657587170600891,0.29299554228782654,0.5081188678741455,0.47761768102645874,0.4598914384841919,0.4470112919807434,0.5769897103309631,0.5808449387550354,0.5843067169189453,0.58717942237854,0.6398426294326782,0.6669596433639526,0.6825301647186279,0.6921062469482422,0.6963942646980286,0.7318565845489502,0.751685619354248,0.765367865562439,0.7403113842010498,0.7106978893280029,0.6518092155456543,0.6042848825454712,0.5746181607246399,0.44403254985809326,0.28780657052993774,0.187455952167511,0.09834891557693481,0.43626800179481506,0.26404374837875366,0.16127222776412964,0.07022401690483093,0.4667707085609436,0.3020727038383484,0.1964992880821228,0.10207423567771912,0.5224420428276062,0.40194952487945557,0.3219571113586426,0.24287234246730804,9.816280908125918e-07,-0.060698024928569794,-0.10847709327936172,-0.14918899536132812,-0.19372721016407013,-0.10829244554042816,-0.15930157899856567,-0.19380620121955872,-0.21889682114124298,-0.1145423948764801,-0.16055095195770264,-0.19098302721977234,-0.21457643806934357,-0.1249825730919838,-0.17269018292427063,-0.19934386014938354,-0.21857963502407074,-0.13899096846580505,-0.18224680423736572,-0.19877232611179352,-0.21046830713748932
A,0.6021267175674438,0.511080265045166,0.4325919449329376,0.3626546561717987,0.2922070622444153,0.5011031627655029,0.46968817710876465,0.4510650336742401,0.4376889169216156,0.5690758228302002,0.5678715109825134,0.5658988356590271,0.5638400912284851,0.6315476894378662,0.657463014125824,0.672418475151062,0.681124210357666,0.6874783039093018,0.7251096963882446,0.7460362911224365,0.7604932188987732,0.7371867895126343,0.7120309472084045,0.6550876498222351,0.6076165437698364,0.5791561007499695,0.4511309564113617,0.2935505509376526,0.19268259406089783,0.10332512855529785,0.4427475929260254,0.2709207236766815,0.16660180687904358,0.07482689619064331,0.4725727438926697,0.30700767040252686,0.19753697514533997,0.10048678517341614,0.5282022356987,0.40600839257240295,0.32344895601272583,0.24152874946594238,9.491469086242432e-07,-0.061154771596193314,-0.10888636112213135,-0.14946651458740234,-0.1940002590417862,-0.1123075932264328,-0.1641634851694107,-0.19854852557182312,-0.22329966723918915,-0.1186654269695282,-0.1662726104259491,-0.19740888476371765,-0.22123077511787415,-0.12891237437725067,-0.17838554084300995,-0.20632140338420868,-0.22613170742988586,-0.1425870656967163,-0.18781107664108276,-0.20552921295166016,-0.217851459980011
A,0.5943702459335327,0.5025531053543091,0.4255672097206116,0.35745447874069214,0.28617173433303833,0.49525588750839233,0.46188822388648987,0.44183939695358276,0.425743043422699,0.5620648264884949,0.5550121665000916,0.5431110858917236,0.530766487121582,0.6259510517120361,0.6492480039596558,0.6619835495948792,0.6693093180656433,0.6842238903045654,0.7180060744285583,0.7376500368118286,0.7519596219062805,0.7346916198730469,0.7130043506622314,0.6629495620727539,0.6204647421836853,0.5937224626541138,0.46367019414901733,0.3064873218536377,0.2079143524169922,0.11958768963813782,0.45606350898742676,0.2905147671699524,0.19618690013885498,0.1154451072216034,0.4846777617931366,0.31867271661758423,0.2091546654701233,0.11436650156974792,0.5387564301490784,0.4129180312156677,0.3280308246612549,0.24572522938251495,8.538486895304231e-07,-0.061066821217536926,-0.11210332810878754,-0.1561027467250824,-0.20397131145000458,-0.11697142571210861,-0.1707019805908203,-0.20728012919425964,-0.23391787707805634,-0.12455136328935623,-0.17616930603981018,-0.20845189690589905,-0.23245306313037872,-0.1355704665184021,-0.185857892036438,-0.21108195185661316,-0.22907711565494537,-0.1501578539609909,-0.1940349042415619,-0.20905883610248566,-0.21969455480575562
A,0.6028767228126526,0.5083503723144531,0.4265216588973999,0.355105996131897,0.2825690507888794,0.4901082515716553,0.4539037346839905,0.4330950379371643,0.4168736934661865,0.5558425784111023,0.5424512624740601,0.5293929576873779,0.5180873870849609,0.6193302869796753,0.6406028866767883,0.6531658172607422,0.6605291366577148,0.6783175468444824,0.7113696932792664,0.7297985553741455,0.7432466745376587,0.7219172120094299,0.7099428772926331,0.6687679886817932,0.6326353549957275,0.609788715839386,0.475284606218338,0.3211102783679962,0.22342067956924438,0.13540011644363403,0.46514448523521423,0.300730437040329,0.19630393385887146,0.10141056776046753,0.4926204979419708,0.3327457904815674,0.2254510074853897,0.12953394651412964,0.5455820560455322,0.4225340485572815,0.338611364364624,0.2554519772529602,8.800882937975985e-07,-0.06120561808347702,-0.1128244698047638,-0.157487154006958,-0.20672202110290527,-0.12418326735496521,-0.18006105720996857,-0.21714279055595398,-0.2438623309135437,-0.13213814795017242,-0.1837942898273468,-0.21685579419136047,-0.24290631711483002,-0.14310672879219055,-0.1942700892686844,-0.22103223204612732,-0.24073348939418793,-0.15754087269306183,-0.2028815746307373,-0.2193824052810669,-0.23160062730312347
